date,market_value
07-01-1994,3445.98
10-01-1994,3440.58
11-01-1994,3413.77
12-01-1994,3372.02
13-01-1994,3360.01
14-01-1994,3400.56
17-01-1994,3407.83
18-01-1994,3437.01
19-01-1994,3475.15
20-01-1994,3469.99
21-01-1994,3484.21
24-01-1994,3481.42
25-01-1994,3443.97
26-01-1994,3436.08
27-01-1994,3427.25
28-01-1994,3447.45
31-01-1994,3491.83
01-02-1994,3481.47
02-02-1994,3520.27
03-02-1994,3491.48
04-02-1994,3475.44
07-02-1994,3419.07
08-02-1994,3440.2
09-02-1994,3429.11
10-02-1994,3406.95
11-02-1994,3378.87
14-02-1994,3363.53
15-02-1994,3393.16
16-02-1994,3417.73
17-02-1994,3425.3
18-02-1994,3382.6
21-02-1994,3350.26
22-02-1994,3333.75
23-02-1994,3341.86
24-02-1994,3267.46
25-02-1994,3281.2
28-02-1994,3328.1
01-03-1994,3270.6
02-03-1994,3248.09
03-03-1994,3246.5
04-03-1994,3278
07-03-1994,3305.91
08-03-1994,3264.4
09-03-1994,3246.7
10-03-1994,3233.9
11-03-1994,3191.9
14-03-1994,3233.4
15-03-1994,3267.4
16-03-1994,3242.9
17-03-1994,3255.7
18-03-1994,3218.1
21-03-1994,3197.98
22-03-1994,3201.52
23-03-1994,3155.3
24-03-1994,3121.71
25-03-1994,3128.98
28-03-1994,3129.5
29-03-1994,3123.4
30-03-1994,3092.4
31-03-1994,3086.4
01-04-1994,3086.4
04-04-1994,3086.4
05-04-1994,3116.2
06-04-1994,3131.5
07-04-1994,3129
08-04-1994,3120.8
11-04-1994,3149.4
12-04-1994,3159.1
13-04-1994,3145.8
14-04-1994,3131.7
15-04-1994,3168.3
18-04-1994,3138.16
19-04-1994,3128.01
20-04-1994,3098.34
21-04-1994,3101.24
22-04-1994,3133.7
25-04-1994,3106.1
26-04-1994,3125.3
27-04-1994,3150
28-04-1994,3129.9
29-04-1994,3125.34
02-05-1994,3125.34
03-05-1994,3100
04-05-1994,3070.5
05-05-1994,3106
06-05-1994,3106
09-05-1994,3097.8
10-05-1994,3136.3
11-05-1994,3130.5
12-05-1994,3137.8
13-05-1994,3119.2
16-05-1994,3115.6
17-05-1994,3123.51
18-05-1994,3116.51
19-05-1994,3122.81
20-05-1994,3127.28
23-05-1994,3108.4
24-05-1994,3089.1
25-05-1994,3020.7
26-05-1994,3019.7
27-05-1994,2966.4
30-05-1994,2966.4
31-05-1994,2970.5
01-06-1994,2931.9
02-06-1994,2980.8
03-06-1994,2997.8
06-06-1994,3009.4
07-06-1994,3004.8
08-06-1994,3038.2
09-06-1994,3028.9
10-06-1994,3055.9
13-06-1994,3016.34
14-06-1994,3039.63
15-06-1994,3045.82
16-06-1994,3030.08
17-06-1994,3022.94
20-06-1994,2971.1
21-06-1994,2940.2
22-06-1994,2960.4
23-06-1994,2942.4
24-06-1994,2876.6
27-06-1994,2899.9
28-06-1994,2909
29-06-1994,2946.3
30-06-1994,2919.2
01-07-1994,2936.4
04-07-1994,2970.44
05-07-1994,2965
06-07-1994,2946.7
07-07-1994,2964.4
08-07-1994,2962.4
11-07-1994,2983.8
12-07-1994,2963.91
13-07-1994,3005.32
14-07-1994,3050.38
15-07-1994,3074.78
18-07-1994,3082
19-07-1994,3091.3
20-07-1994,3077.2
21-07-1994,3095.13
22-07-1994,3114.69
25-07-1994,3106.15
26-07-1994,3117.18
27-07-1994,3082.34
