Date,apple,walmart,tesla
2021-01-28,136.250031,141.499802,835.429993
2021-01-29,131.151489,138.29083300000002,793.530029
2021-02-01,133.31813,137.089935,839.8099980000001
2021-02-02,134.162918,138.566452,872.7899779999999
2021-02-03,133.119339,138.989716,854.6900019999999
2021-02-04,136.548218,140.298889,849.98999
2021-02-05,136.12518300000002,142.10025,852.2299800000001
2021-02-08,136.27449,142.75976599999998,863.419983
2021-02-09,135.378647,143.547226,849.4600220000001
2021-02-10,134.761551,141.87385600000002,804.820007
2021-02-11,134.502731,141.765579,811.659973
2021-02-12,134.741623,142.208527,816.119995
2021-02-16,132.571747,143.379898,796.219971
2021-02-17,130.232651,144.89579799999998,798.150024
2021-02-18,129.10791,135.50512700000002,787.380005
2021-02-19,129.267151,136.1745,781.299988
2021-02-22,125.415123,135.534653,714.5
2021-02-23,125.27578000000001,133.349411,698.840027
2021-02-24,124.768143,131.124802,742.02002
2021-02-25,120.42838300000001,129.88450600000002,682.219971
2021-02-26,120.69713600000001,127.886269,675.5
2021-03-01,127.19681499999999,129.313583,718.429993
2021-03-02,124.53921499999998,128.073318,686.4400019999999
2021-03-03,121.493416,125.592758,653.200012
2021-03-04,119.572372,125.533707,621.4400019999999
2021-03-05,120.856384,127.098808,597.950012
2021-03-08,115.81987,125.87822,563.0
2021-03-09,120.52791599999999,126.87241399999999,673.580017
2021-03-10,119.423073,130.110931,668.0599980000001
2021-03-11,121.393875,130.061707,699.599976
2021-03-12,120.46820100000001,132.020538,693.72998
2021-03-15,123.414452,131.341354,707.9400019999999
2021-03-16,124.98711399999999,131.301971,676.880005
2021-03-17,124.180885,130.209351,701.8099980000001
2021-03-18,119.97051200000001,128.509186,653.159973
2021-03-19,119.433022,130.219238,654.869995
2021-03-22,122.817245,130.841965,670.0
2021-03-23,121.97119099999999,132.393845,662.159973
2021-03-24,119.532555,131.573425,630.27002
2021-03-25,120.030235,132.463028,640.3900150000001
2021-03-26,120.64736200000002,133.570114,618.710022
2021-03-29,120.826523,135.09231599999998,611.289978
2021-03-30,119.34343700000001,134.17306499999998,635.619995
2021-03-31,121.58299299999999,134.262024,667.929993
2021-04-01,122.429047,134.054428,661.75
2021-04-05,125.31558999999999,137.82045,691.049988
2021-04-06,125.624153,138.482727,691.619995
2021-04-07,127.30631299999999,138.186203,670.969971
2021-04-08,129.754883,138.097229,683.799988
2021-04-09,132.382614,138.166412,677.02002
2021-04-12,130.630798,138.186203,701.97998
2021-04-13,133.805984,137.761154,762.320007
2021-04-14,131.41713000000001,137.71173100000001,732.22998
2021-04-15,133.875656,138.542038,738.849976
2021-04-16,133.537262,138.986832,739.780029
2021-04-19,134.21409599999998,138.097229,714.630005
2021-04-20,132.492126,139.164764,718.98999
2021-04-21,132.88031,139.570023,744.119995
2021-04-22,131.32756,138.057693,719.6900019999999
2021-04-23,133.696518,138.285034,729.400024
2021-04-26,134.09465,136.318024,738.200012
2021-04-27,133.766174,136.782593,704.73999
2021-04-28,132.95993,136.298248,694.400024
2021-04-29,132.860397,138.018158,677.0
2021-04-30,130.849777,138.29492199999999,709.4400019999999
2021-05-03,131.924744,140.479401,684.900024
2021-05-04,127.25653100000001,139.095581,673.599976
2021-05-05,127.50538600000002,138.976944,670.9400019999999
2021-05-06,129.13777199999998,139.96928400000002,663.539978
2021-05-07,129.82574499999998,139.125809,672.369995
2021-05-10,126.47563899999999,139.741058,629.039978
2021-05-11,125.538422,138.480789,617.200012
2021-05-12,122.407684,134.898438,589.8900150000001
2021-05-13,124.60118899999999,137.180832,571.6900019999999
2021-05-14,127.07386799999999,138.451019,589.73999
2021-05-17,125.897354,137.825836,576.830017
2021-05-18,124.481544,140.822708,577.869995
2021-05-19,124.32202099999999,140.832611,563.460022
2021-05-20,126.93428,141.328781,586.780029
2021-05-21,125.05983700000002,140.663925,580.880005
2021-05-24,126.724899,140.673843,606.4400019999999
2021-05-25,126.525497,141.24938999999998,604.6900019999999
2021-05-26,126.47563899999999,141.080704,619.130005
2021-05-27,124.910271,140.604401,630.849976
2021-05-28,124.24225600000001,140.941788,625.219971
2021-06-01,123.913223,140.574615,623.900024
2021-06-02,124.690918,140.266998,605.119995
2021-06-03,123.17541499999999,140.515076,572.840027
2021-06-04,125.518478,140.763168,599.049988
2021-06-07,125.52845,139.820419,605.130005
2021-06-08,126.365967,138.75863600000002,603.590027
2021-06-09,126.75482199999999,138.014389,598.780029
2021-06-10,125.737831,138.808258,610.119995
2021-06-11,126.974167,139.67158500000002,609.8900150000001
2021-06-14,130.094925,139.483047,617.6900019999999
2021-06-15,129.25741599999998,138.927338,599.3599849999999
2021-06-16,129.7659,136.099152,604.869995
2021-06-17,131.40106200000002,136.664795,616.599976
2021-06-18,130.074997,134.13433799999999,623.3099980000001
2021-06-21,131.909561,135.354919,620.830017
2021-06-22,133.584595,135.980087,623.710022
2021-06-23,133.30543500000002,134.918289,656.570007
2021-06-24,133.016281,135.861008,679.820007
2021-06-25,132.717178,137.468597,671.869995
2021-06-28,134.382248,137.041901,688.719971
2021-06-29,135.927673,136.24801599999998,680.76001
2021-06-30,136.555817,139.939529,679.700012
2021-07-01,136.864899,138.252548,677.919983
2021-07-02,139.546967,139.036484,678.900024
2021-07-06,141.600876,138.867798,659.580017
2021-07-07,144.143356,138.639557,644.650024
2021-07-08,142.817276,138.520477,652.8099980000001
2021-07-09,144.681763,139.225052,656.950012
2021-07-12,144.07356299999998,138.97695900000002,685.700012
2021-07-13,145.21018999999998,139.502884,668.539978
2021-07-14,148.709824,140.465454,653.380005
